"Account History - Account","Account History - ID","Account History - Next","Account History - Operation ID","Account History - Sequence","Additional Data - Fee Data - Amount","Additional Data - Fee Data -Asset","Additional Data - Transfer Data - Amount","Additional Data - Transfer Data - Asset","Block Data - Block Number","Block Data - Block Time","Block Data - Transaction ID","Operation History - Raw Operation","Operation History - Operation in Transaction","Operation History - Operation Result","Operation History - Transaction in Block","Operation Data - Virtual Operation","Operation Type"
1.2.131183,2.9.630114588,2.9.630114337,1.11.612300057,57700,,,,,32634727,2018-11-28T07:03:33,1b2a54a4b58343a30258f60638af3636806fd84d,,0,"[1,""1.8.94789""]",2,17903,3
1.2.131183,2.9.630114336,2.9.630113936,1.11.612299805,57698,,,,,32634722,2018-11-28T07:03:18,c071fbee02e20f4809a44acb1df88b40cef6f815,,0,"[1,""1.7.255676815""]",40,17369,1
1.2.131183,2.9.630114337,2.9.630114336,1.11.612299806,57699,,,,,32634722,2018-11-28T07:03:18,c071fbee02e20f4809a44acb1df88b40cef6f815,,0,"[0,{}]",40,17370,4
1.2.131183,2.9.630113936,2.9.630113723,1.11.612299406,57697,,,,,32634715,2018-11-28T07:02:57,5bda922bccdae903b35fb5128918fd08315b0f53,,0,"[1,""1.8.94789""]",14,16483,3
1.2.131183,2.9.630113722,2.9.630113575,1.11.612299208,57695,,,,,32634710,2018-11-28T07:02:42,42fa08c7cce318114215dd8a4ab0ecf4f587b423,,0,"[1,""1.7.255676588""]",4,16092,1
1.2.131183,2.9.630113723,2.9.630113722,1.11.612299209,57696,,,,,32634710,2018-11-28T07:02:42,42fa08c7cce318114215dd8a4ab0ecf4f587b423,,0,"[0,{}]",4,16093,4
1.2.131183,2.9.630113575,2.9.630029395,1.11.612299062,57694,,,,,32634705,2018-11-28T07:02:27,628b55047e39143ad2a400ba7f53891af9199516,,0,"[1,""1.8.94789""]",9,15783,3
1.2.131183,2.9.630029395,2.9.630029231,1.11.612216857,57693,,,,,32632704,2018-11-28T05:22:06,10390badf46c6b42efcb534e9b39203fa2d479ff,,0,"[1,""1.8.94789""]",25,24469,3
1.2.131183,2.9.630029231,2.9.630029230,1.11.612216702,57692,,,,,32632700,2018-11-28T05:21:54,14e8238034783ee18779fed6c8a449d89344bcb0,,0,"[0,{}]",25,24141,4
1.2.131183,2.9.630029230,2.9.630029122,1.11.612216701,57691,,,,,32632700,2018-11-28T05:21:54,14e8238034783ee18779fed6c8a449d89344bcb0,,0,"[1,""1.7.255643762""]",25,24140,1
1.2.131183,2.9.630029122,2.9.630028264,1.11.612216606,57690,,,,,32632698,2018-11-28T05:21:48,ee2a852dceda547b50bed0def3df2a4501641fd5,,0,"[1,""1.8.94789""]",0,23968,3
1.2.131183,2.9.630028264,2.9.630028187,1.11.612215769,57689,,,,,32632676,2018-11-28T05:20:42,6e9c10769f7240be2e39a41cba4b104be2f95f7c,,0,"[1,""1.8.94789""]",0,22203,3
1.2.131183,2.9.630028186,2.9.630028004,1.11.612215692,57687,,,,,32632672,2018-11-28T05:20:30,47afa59d9243ead4daa6b6319fa91fe20018e2ab,,0,"[1,""1.7.255643356""]",16,22032,1
1.2.131183,2.9.630028187,2.9.630028186,1.11.612215693,57688,,,,,32632672,2018-11-28T05:20:30,47afa59d9243ead4daa6b6319fa91fe20018e2ab,,0,"[0,{}]",16,22033,4
1.2.131183,2.9.630028004,2.9.630023751,1.11.612215511,57686,,,,,32632668,2018-11-28T05:20:18,b92b896f441fda35a26786b68e3a4e20337c1d00,,0,"[1,""1.8.94789""]",39,21644,3
1.2.131183,2.9.630023751,2.9.630023464,1.11.612211311,57685,,,,,32632560,2018-11-28T05:14:54,14b14ef9ba7350c6f4f57aba327f8833d8e96fa4,,0,"[1,""1.8.94789""]",29,12745,3
1.2.131183,2.9.630023464,2.9.630023463,1.11.612211026,57684,,,,,32632556,2018-11-28T05:14:42,424bcc4d76d24223a1a6cf3e6cdd047533b15e33,,0,"[0,{}]",22,12083,4
1.2.131183,2.9.630023463,2.9.630023297,1.11.612211025,57683,,,,,32632556,2018-11-28T05:14:42,424bcc4d76d24223a1a6cf3e6cdd047533b15e33,,0,"[1,""1.7.255641468""]",22,12082,1
1.2.131183,2.9.630023297,2.9.630022015,1.11.612210861,57682,,,,,32632552,2018-11-28T05:14:30,7e274c8f94f0210e11508de3e5df4fad3cc6e71f,,0,"[1,""1.8.94789""]",7,11544,3
1.2.131183,2.9.630022015,2.9.630021826,1.11.612209594,57681,,,,,32632520,2018-11-28T05:12:54,ce01484612e4c0339a9835a0402545f7cfe32e2a,,0,"[1,""1.8.94789""]",19,8752,3
1.2.131183,2.9.630021826,2.9.630021825,1.11.612209405,57680,,,,,32632516,2018-11-28T05:12:42,770aafeb39c1eead0f745d438d4e4918c1be29af,,0,"[0,{}]",35,8318,4
1.2.131183,2.9.630021825,2.9.630021678,1.11.612209404,57679,,,,,32632516,2018-11-28T05:12:42,770aafeb39c1eead0f745d438d4e4918c1be29af,,0,"[1,""1.7.255640832""]",35,8317,1
1.2.131183,2.9.630021678,2.9.630021595,1.11.612209258,57678,,,,,32632512,2018-11-28T05:12:30,e433f75d456ab00181a3c202c990f70f783da062,,0,"[1,""1.8.94789""]",16,7991,3
1.2.131183,2.9.630021595,2.9.630021594,1.11.612209177,57677,,,,,32632509,2018-11-28T05:12:21,9217cab239c8b6c413a6faab117854c48e193e58,,0,"[0,{}]",19,7823,4
1.2.131183,2.9.630021594,2.9.630021274,1.11.612209176,57676,,,,,32632509,2018-11-28T05:12:21,9217cab239c8b6c413a6faab117854c48e193e58,,0,"[1,""1.7.255640735""]",19,7822,1
1.2.131183,2.9.630021274,2.9.630021089,1.11.612208857,57675,,,,,32632505,2018-11-28T05:12:09,fdf3e00796e951ade038b05df535fd0f2539bbea,,0,"[1,""1.8.94789""]",2,7031,3
1.2.131183,2.9.630021086,2.9.630020985,1.11.612208669,57672,,,,,32632500,2018-11-28T05:11:54,0803d5a63ce8e37e6685febc13068b3c8e2057d6,,0,"[1,""1.7.255640539""]",26,6502,1
